id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1592222698087686144,1592219090940465153,2022-11-14 18:27:27 UTC,2022-11-14,18:27:27,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@__iMam Hai, Kak Imam. Informasi, permintaan dan laporan seputar layanan IndiHome bisa sampaikan detailnya ke DM akun kami @IndiHomeCare ( https://t.co/yuUDRsBgiA) supaya bisa dibantu lebih lanjut. -Ayunk",in,"[{'screen_name': 'indihomecare', 'name': 'indihomecare', 'id': '765035200896118789'}]",['http://myih.ch/dm'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592222698087686144,False,,0,,,,,,,,"[{'screen_name': '__iMam', 'name': 'Imam Budi Suprapto', 'id': '74221077'}]",,,,
1592222588897751042,1592222588897751042,2022-11-14 18:27:01 UTC,2022-11-14,18:27:01,+0000,869845994824843265,jayakatwan9,pew,,IndiHome Anjeng,in,[],[],[],0,0,0,[],[],https://twitter.com/jayakatwan9/status/1592222588897751042,False,,0,,,,,,,,[],,,,
1592222479916748801,1592208867819417601,2022-11-14 18:26:35 UTC,2022-11-14,18:26:35,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@Hanifalfares Hai, Kak Hanifal. Ada apa nih dgn layanan IndiHome nya, Kak? Yuk infoin detail laporannya via DM  https://t.co/yuUDRsBgiA serta nomor internet dan nomor ponselnya ya, Kak. Terima kasih. -Adhan",in,[],['http://myih.ch/dm'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592222479916748801,False,,0,,,,,,,,"[{'screen_name': 'Hanifalfares', 'name': 'Curious Joey', 'id': '1076123623532838912'}]",,,,
1592222266380939264,1592207551709708289,2022-11-14 18:25:45 UTC,2022-11-14,18:25:45,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@aisanotsubuyaki Hai, Kak Aisah. Ada apa nih dgn layanan IndiHome nya, Kak? Yuk infoin detail laporannya via DM  https://t.co/yuUDRsTpwI serta nomor internet dan nomor ponselnya ya, Kak. Terima kasih. -Adhan",in,[],['http://myih.ch/dm'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592222266380939264,False,,0,,,,,,,,"[{'screen_name': 'aisanotsubuyaki', 'name': 'aisah', 'id': '290587022'}]",,,,
1592222214753226753,1592222214753226753,2022-11-14 18:25:32 UTC,2022-11-14,18:25:32,+0000,1361627457791533056,dreaminboutuu,MHA,,no internet dah mau 1 jam @IndiHomeCare @IndiHome,in,"[{'screen_name': 'indihomecare', 'name': 'indihomecare', 'id': '765035200896118789'}, {'screen_name': 'indihome', 'name': 'indihome', 'id': '1075673058931806208'}]",[],[],0,0,0,[],[],https://twitter.com/DreaminBoutUu/status/1592222214753226753,False,,0,,,,,,,,[],,,,
1592222145513672706,1592207238504271873,2022-11-14 18:25:16 UTC,2022-11-14,18:25:16,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@Raffiadinegoro Hai, Kak Raffi. Ada apa nih dgn layanan IndiHome nya, Kak? Yuk infoin detail laporannya via DM  https://t.co/yuUDRsTpwI serta nomor internet dan nomor ponselnya ya, Kak. Terima kasih. -Adhan",in,[],['http://myih.ch/dm'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592222145513672706,False,,0,,,,,,,,"[{'screen_name': 'Raffiadinegoro', 'name': 'goadigo', 'id': '471716434'}]",,,,
1592222012931395584,1592213983347773441,2022-11-14 18:24:44 UTC,2022-11-14,18:24:44,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@anditheprasetyo Hai, Kak Andi. Riza  bantu cek ya, yuk diinformasikan no internet, atas nama, alamat, jumlah tagihan terakhir (lunas) dan relasi dengan pemilik IndiHome melalui DM. -Riza",in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592222012931395584,False,,0,,,,,,,,"[{'screen_name': 'anditheprasetyo', 'name': 'andi prasetyo', 'id': '112452551'}]",,,,
1592221999186616320,1592216901752868864,2022-11-14 18:24:41 UTC,2022-11-14,18:24:41,+0000,765035200896118789,indihomecare,IndiHomeCare,,@bajusvibes - Alamat lengkap: - Jumlah tagihan terakhir (yang dibayarkan): - Relasi dengan pemilik IndiHome:  -Ayunk (2),in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592221999186616320,False,,0,,,,,,,,"[{'screen_name': 'bajusvibes', 'name': 'perosotanwaterboom', 'id': '1389298230'}]",,,,
1592221946158395393,1592207003916865536,2022-11-14 18:24:28 UTC,2022-11-14,18:24:28,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@eggstone Hai, Sobat. Ada apa nih dgn layanan IndiHome nya, Kak? Yuk infoin detail laporannya via DM  https://t.co/yuUDRsTpwI serta nomor internet dan nomor ponselnya ya, Kak. Terima kasih. -Adhan",in,[],['http://myih.ch/dm'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592221946158395393,False,,0,,,,,,,,"[{'screen_name': 'eggstone', 'name': 'Warga Binaan', 'id': '14599656'}]",,,,
1592221776708538368,1592206985055076352,2022-11-14 18:23:48 UTC,2022-11-14,18:23:48,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@playitsafebeybi Hai, Sobat. Ada apa nih dgn layanan IndiHome nya, Kak? Yuk infoin detail laporannya via DM  https://t.co/yuUDRsTpwI serta nomor internet dan nomor ponselnya ya, Kak. Terima kasih. -Adhan",in,[],['http://myih.ch/dm'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592221776708538368,False,,0,,,,,,,,"[{'screen_name': 'playitsafebeybi', 'name': 'Buzz lightyear  ☮', 'id': '144776474'}]",,,,
1592221633250742273,1592206610721824768,2022-11-14 18:23:14 UTC,2022-11-14,18:23:14,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@hellowbay_ Hai, Sobat. Ada apa nih dgn layanan IndiHome nya, Kak? Yuk infoin detail laporannya via DM  https://t.co/yuUDRsTpwI ya, Kak. Terima kasih. -Adhan",in,[],['http://myih.ch/dm'],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592221633250742273,False,,0,,,,,,,,"[{'screen_name': 'hellowbay_', 'name': 'Matcha Puff', 'id': '559243785'}]",,,,
1592221612018761730,1592219111672926208,2022-11-14 18:23:09 UTC,2022-11-14,18:23:09,+0000,765035200896118789,indihomecare,IndiHomeCare,,@Mikacantikdeh - Alamat lengkap: - Jumlah tagihan terakhir (yang dibayarkan): - Relasi dengan pemilik IndiHome:  -Ayunk (2),in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592221612018761730,False,,0,,,,,,,,"[{'screen_name': 'Mikacantikdeh', 'name': 'mikaila', 'id': '2895647456'}]",,,,
1592221390781837312,1590025541213880322,2022-11-14 18:22:16 UTC,2022-11-14,18:22:16,+0000,765035200896118789,indihomecare,IndiHomeCare,,"@pigletburst Hai, Kak Eka. Mohon infokan data berikut via DM ya, guna dibantu cek dan solusikan: 1. Nomor internet: 2. Atas nama pemilik: 3. Alamat pemasangan: 4. Jumlah tagihan terakhir (lunas): 5. Relasi dengan pemilik IndiHome:  Terima kasih. -Ervien",in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592221390781837312,False,,0,,,,,,,,"[{'screen_name': 'pigletburst', 'name': 'Eka Putri', 'id': '191394417'}]",,,,
1592221209923489794,1592220400519639040,2022-11-14 18:21:33 UTC,2022-11-14,18:21:33,+0000,765035200896118789,indihomecare,IndiHomeCare,,@srhyousoff - Alamat lengkap: - Jumlah tagihan terakhir (yang dibayarkan): - Relasi dengan pemilik IndiHome:  -Ayunk (2),in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592221209923489794,False,,0,,,,,,,,"[{'screen_name': 'srhyousoff', 'name': 'K', 'id': '822901242'}]",,,,
1592221074196135936,1592221074196135936,2022-11-14 18:21:00 UTC,2022-11-14,18:21:00,+0000,536267062,ykzirsagab,B,,caper @IndiHome,en,"[{'screen_name': 'indihome', 'name': 'indihome', 'id': '1075673058931806208'}]",[],[],0,0,0,[],[],https://twitter.com/ykzirsagab/status/1592221074196135936,False,,0,,,,,,,,[],,,,
1592220695789850625,1592207122712137729,2022-11-14 18:19:30 UTC,2022-11-14,18:19:30,+0000,765035200896118789,indihomecare,IndiHomeCare,,@makhluk_999 - Alamat lengkap: - Jumlah tagihan terakhir (yang dibayarkan): - Relasi dengan pemilik IndiHome:  -Ayunk (2),in,[],[],[],0,0,0,[],[],https://twitter.com/IndiHomeCare/status/1592220695789850625,False,,0,,,,,,,,"[{'screen_name': 'makhluk_999', 'name': 'R', 'id': '1239941513687085056'}]",,,,
1592220655126470658,1592220655126470658,2022-11-14 18:19:20 UTC,2022-11-14,18:19:20,+0000,343354460,bambina97_,Aldo,,Gua kira gua doang yg error gataunya banyak wkekekw indihome oh indihome,in,[],[],[],0,0,0,[],[],https://twitter.com/bambina97_/status/1592220655126470658,False,,0,,,,,,,,[],,,,
